index,시도,idx,name,address,latitude,longitude,input_wastes
37,서울특별시,60,국사봉중학교(포인트 적립 불가),"서울특별시 동작구 양녕로20길 20 국사봉중학교""",37.493623,126.9441019,"['캔', '투명 페트']"
170,서울특별시,226,롯데마트 서초점 지하4층,"서울특별시 서초구 서초대로38길 12""",37.4900696218267,127.00633218032168,['투명 페트']
466,서울특별시,771,난곡재생활력소,"서울특별시 관악구 신림동 646-131""",37.46952011229598,126.9236135597889,['투명 페트']
467,서울특별시,772,성현동자치회관,"서울특별시 관악구 봉천동 1703-6""",37.48722597080704,126.95679864234084,['투명 페트']
492,서울특별시,798,위례동주민센터,"서울특별시 송파구 장지동 882""",37.48104401767678,127.14401712129649,"['캔', '투명 페트']"
136,서울특별시,185,송파구새활용센터,"서울특별시 송파구 문정로 246""",37.49989911076753,127.1420131938712,['투명 페트']
137,서울특별시,186,이마트 명일점,"서울특별시 강동구 고덕로 276""",37.5546046874526,127.155987297642,"['캔', '투명 페트']"
491,서울특별시,797,거여2동주민센터,"서울특별시 송파구 거여동 697-9""",37.49344704831605,127.1471336616652,"['캔', '투명 페트']"
172,서울특별시,228,롯데마트 월드타워점 지하 2층,"서울특별시 송파구 올림픽로 300""",37.5135401296735,127.104147193463,['투명 페트']
426,서울특별시,727,번2동주민센터,"서울특별시 강북구 한천로 897""",37.63229474601691,127.03884707049576,['투명 페트']
29,서울특별시,47,낙성대동주민센터,"서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터""",37.4762949,126.9583967,"['캔', '투명 페트']"
423,서울특별시,724,삼각산동주민센터,"서울특별시 강북구 삼양로19길 25""",37.6151805250552,127.020948144694,['투명 페트']
358,서울특별시,648,동작청소년문화의집,"서울특별시 동작구 상도로15바길 5""",37.50411579064342,126.93350813850262,"['캔', '투명 페트']"
359,서울특별시,649,대방동주민센터,"서울특별시 동작구 여의대방로44길 20""",37.5081142475191,126.92633110794682,"['캔', '투명 페트']"
360,서울특별시,650,사당종합체육관,"서울특별시 동작구 사당로27길 232""",37.49244691560986,126.9700823270174,"['캔', '투명 페트']"
361,서울특별시,651,상도 어울마당,"서울특별시 동작구 성대로 180""",37.49926531448162,126.94042780115744,"['캔', '투명 페트']"
563,서울특별시,870,마곡레포츠센터,"서울특별시 강서구 양천로 251""",37.57302821474351,126.83121892586334,"['캔', '투명 페트']"
562,서울특별시,869,상도3동 빙수골공원,"서울특별시 동작구 상도동 292-56""",37.4967312063293,126.93203045004968,"['캔', '투명 페트']"
561,서울특별시,868,목동근린공원,"서울특별시 양천구 목동 560""",37.54695017114461,126.87799601857948,"['캔', '투명 페트']"
560,서울특별시,867,목4동시장고객지원센터,"서울특별시 양천구 목동중앙남로7길 8""",37.53758273511978,126.86616769508475,"['캔', '투명 페트']"
559,서울특별시,866,신정3동주민센터,"서울특별시 양천구 신정동 1263""",37.51520658775184,126.8549105549589,"['캔', '투명 페트']"
558,서울특별시,865,신월문화체육센터,"서울특별시 양천구 신월동 987""",37.519987336886565,126.83502617218068,"['캔', '투명 페트']"
557,서울특별시,864,곰달래꿈마을,"서울특별시 양천구 신월동 227-2""",37.52986242257901,126.83672689910496,"['캔', '투명 페트']"
369,서울특별시,659,세븐일레븐 한양대정보관점,"서울특별시 성동구 왕십리로 222""",37.556615645882765,127.04597739357776,['투명 페트']
556,서울특별시,863,신월1동주민센터,"서울특별시 양천구 신월동 135-18""",37.53277419951312,126.83141433420565,"['캔', '투명 페트']"
555,서울특별시,862,목동보건지소,"서울특별시 양천구 목동 717-43""",37.54015607738499,126.86704283823484,"['캔', '투명 페트']"
591,서울특별시,901,남가좌1동주민센터,"서울특별시 서대문구 남가좌동 385-3""",37.57332888770126,126.91984845427817,['투명 페트']
592,서울특별시,902,서대문구 리앤업사이클플라자,"서울특별시 서대문구 홍은동 426-3""",37.58262391945621,126.9367923559844,['투명 페트']
425,서울특별시,726,미아동주민센터,"서울특별시 강북구 미아동 197-1""",37.626907913569376,127.0269468651311,['투명 페트']
357,서울특별시,647,신대방2동주민센터,"서울특별시 동작구 신대방동 723""",37.49841164906995,126.92470935775606,"['캔', '투명 페트']"
356,서울특별시,646,상도1동주민센터,"서울특별시 동작구 상도동 437""",37.498041094311375,126.95295594781427,"['캔', '투명 페트']"
355,서울특별시,645,남성역 2번 출구,"서울특별시 동작구 사당동 250-2""",37.48448903159469,126.97115962975155,"['캔', '투명 페트']"
354,서울특별시,644,사당3동주민센터,"서울특별시 동작구 사당동 256-1""",37.484647237776045,126.97341807172796,"['캔', '투명 페트']"
