category1,category2,category3,category4,year,amount,processed
합계,재활용가능자원 분리배출,기타,소계,2016,579.3,579.3
합계,총계,소계,소계,2017,45008.9,0
합계,종량제방식에의한혼합배출,소계,소계,2017,19660.8,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,16346.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,1333.8,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,4980.5,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,1115.1,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,912.2,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,3546.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2017,4458.4,0
합계,종량제방식에의한혼합배출,불연성,소계,2017,2652.7,0
합계,종량제방식에의한혼합배출,불연성,소계,2017,500.9,0
합계,종량제방식에의한혼합배출,불연성,소계,2017,375.5,0
합계,종량제방식에의한혼합배출,불연성,소계,2017,335.5,0
합계,종량제방식에의한혼합배출,불연성,소계,2017,1440.8,0
합계,종량제방식에의한혼합배출,기타(배출불명 등),소계,2017,661.2,0
합계,재활용가능자원 분리배출,소계,소계,2017,11946.3,11946.3
합계,재활용가능자원 분리배출,종이류,소계,2017,3877.8,3877.8
합계,재활용가능자원 분리배출,폐유리병류,소계,2017,1491.7,1491.7
합계,재활용가능자원 분리배출,캔류,소계,2017,638.1,638.1
합계,재활용가능자원 분리배출,플라스틱류,소계,2017,1082.1,1082.1
합계,재활용가능자원 분리배출,합성수지류,소계,2017,1203,1203
합계,재활용가능자원 분리배출,발포수지류,소계,2017,131,131
합계,재활용가능자원 분리배출,폐전기전자제품,소계,2017,141.8,141.8
합계,재활용가능자원 분리배출,폐전지류,소계,2017,16,16
합계,재활용가능자원 분리배출,타이어,소계,2017,28.5,28.5
합계,재활용가능자원 분리배출,윤활유,소계,2017,28.3,28.3
합계,재활용가능자원 분리배출,폐형광등,소계,2017,147.2,147.2
합계,재활용가능자원 분리배출,고철류,소계,2017,1418.3,1418.3
합계,재활용가능자원 분리배출,폐의류,소계,2017,178.2,178.2
합계,재활용가능자원 분리배출,영농폐기물,소계,2017,463.9,463.9
합계,재활용가능자원 분리배출,폐가구류,소계,2017,522.3,522.3
합계,재활용가능자원 분리배출,폐식용유,소계,2017,42.5,42.5
합계,재활용가능자원 분리배출,기타,소계,2017,535.6,535.6
합계,총계,소계,소계,2018,46749.3,0
합계,종량제방식에의한혼합배출,소계,소계,2018,20361,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,16791.6,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,1530.7,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,4985.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,1196.3,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,989,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,3752.8,0
합계,종량제방식에의한혼합배출,가연성,소계,2018,4336.9,0
합계,종량제방식에의한혼합배출,불연성,소계,2018,2811.3,0
합계,종량제방식에의한혼합배출,불연성,소계,2018,639.9,0
합계,종량제방식에의한혼합배출,불연성,소계,2018,443.5,0
합계,종량제방식에의한혼합배출,불연성,소계,2018,314.4,0
합계,종량제방식에의한혼합배출,불연성,소계,2018,1413.5,0
합계,종량제방식에의한혼합배출,기타(배출불명 등),소계,2018,758.1,0
합계,재활용가능자원 분리배출,소계,소계,2018,13028.4,13028.4
합계,재활용가능자원 분리배출,종이류,소계,2018,3889.1,3889.1
합계,재활용가능자원 분리배출,폐유리병류,소계,2018,1223.8,1223.8
합계,재활용가능자원 분리배출,금속캔,소계,2018,589.8,589.8
합계,재활용가능자원 분리배출,플라스틱류,소계,2018,1226.2,1226.2
합계,재활용가능자원 분리배출,합성수지류,소계,2018,1295.7,1295.7
합계,재활용가능자원 분리배출,발포수지류,소계,2018,135.1,135.1
합계,재활용가능자원 분리배출,폐전기전자제품,소계,2018,164.1,164.1
합계,재활용가능자원 분리배출,폐전지류,소계,2018,11.9,11.9
합계,재활용가능자원 분리배출,타이어,소계,2018,43.9,43.9
합계,재활용가능자원 분리배출,윤활유,소계,2018,24.9,24.9
합계,재활용가능자원 분리배출,폐형광등,소계,2018,89.9,89.9
합계,재활용가능자원 분리배출,고철류,소계,2018,1228.1,1228.1
합계,재활용가능자원 분리배출,폐의류,소계,2018,181.7,181.7
합계,재활용가능자원 분리배출,영농폐기물,소계,2018,445.6,445.6
합계,재활용가능자원 분리배출,폐가구류,소계,2018,626.8,626.8
합계,재활용가능자원 분리배출,폐식용유,소계,2018,44,44
합계,재활용가능자원 분리배출,재활용잔재물,소계,2018,1546.5,1546.5
합계,재활용가능자원 분리배출,기타,소계,2018,261.3,261.3
합계,총계,소계,소계,2019,45912.1,0
합계,종량제방식에의한혼합배출,소계,소계,2019,20971.1,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,18031.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,1408.7,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,4870.2,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,4416.5,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,1186,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,880.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,511.9,0
합계,종량제방식에의한혼합배출,가연성,소계,2019,4757.7,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,2405.4,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,143.5,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,612.4,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,435.4,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,196.1,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,142.1,0
합계,종량제방식에의한혼합배출,불연성,소계,2019,875.9,0
합계,종량제방식에의한혼합배출,건설폐재류,소계,2019,250.2,0
합계,종량제방식에의한혼합배출,기타(배출불명 등),소계,2019,283.6,0
합계,재활용가능자원 분리배출,소계,소계,2019,11802.2,11802.2
합계,재활용가능자원 분리배출,폐지류,소계,2019,3489.2,3489.2
합계,재활용가능자원 분리배출,폐유리병류,소계,2019,772.3,772.3
합계,재활용가능자원 분리배출,금속캔,소계,2019,395.6,395.6
합계,재활용가능자원 분리배출,폐합성수지류,소계,2019,1210.9,1210.9
합계,재활용가능자원 분리배출,폐합성수지류,소계,2019,160.7,160.7
합계,재활용가능자원 분리배출,폐합성수지류,소계,2019,517.2,517.2
합계,재활용가능자원 분리배출,폐합성수지류,소계,2019,715.5,715.5
합계,재활용가능자원 분리배출,폐고무류,소계,2019,35.8,35.8
합계,재활용가능자원 분리배출,폐전기전자제품,소계,2019,226.7,226.7
합계,재활용가능자원 분리배출,폐전지류,소계,2019,34.2,34.2
합계,재활용가능자원 분리배출,영농폐기물,소계,2019,61.7,61.7
합계,재활용가능자원 분리배출,영농폐기물,소계,2019,424,424
합계,재활용가능자원 분리배출,폐형광등,소계,2019,46.9,46.9
합계,재활용가능자원 분리배출,고철류,소계,2019,1014.5,1014.5
합계,재활용가능자원 분리배출,폐의류,소계,2019,141.8,141.8
합계,재활용가능자원 분리배출,폐섬유류,소계,2019,63.1,63.1
합계,재활용가능자원 분리배출,폐가구류,소계,2019,439.9,439.9
합계,재활용가능자원 분리배출,폐식용유,소계,2019,44.3,44.3
합계,재활용가능자원 분리배출,재활용잔재물,소계,2019,1703.7,1703.7
합계,재활용가능자원 분리배출,기타,소계,2019,304.2,304.2
