category1,category2,category3,category4,year,amount,processed
합계,총계,소계,소계,2015,43411.2,0
합계,종량제방식에의한혼합배출,소계,소계,2015,18157.2,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,15383.3,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,972.1,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,5047,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,1087.7,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,817.2,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,2858.7,0
합계,종량제방식에의한혼합배출,가연성,소계,2015,4600.6,0
합계,종량제방식에의한혼합배출,불연성,소계,2015,2773.9,0
합계,종량제방식에의한혼합배출,불연성,소계,2015,480,0
합계,종량제방식에의한혼합배출,불연성,소계,2015,404.3,0
합계,종량제방식에의한혼합배출,불연성,소계,2015,298.7,0
합계,종량제방식에의한혼합배출,불연성,소계,2015,1590.9,0
합계,재활용가능자원 분리배출,소계,소계,2015,11928.5,11928.5
합계,재활용가능자원 분리배출,종이류,소계,2015,4133.8,4133.8
합계,재활용가능자원 분리배출,폐유리병류,소계,2015,1580.9,1580.9
합계,재활용가능자원 분리배출,캔류,소계,2015,664.9,664.9
합계,재활용가능자원 분리배출,플라스틱류,소계,2015,1017.5,1017.5
합계,재활용가능자원 분리배출,합성수지류,소계,2015,1014.9,1014.9
합계,재활용가능자원 분리배출,폐전기전자제품,소계,2015,120.1,120.1
합계,재활용가능자원 분리배출,폐전지류,소계,2015,20.8,20.8
합계,재활용가능자원 분리배출,타이어,소계,2015,9.4,9.4
합계,재활용가능자원 분리배출,윤활유,소계,2015,5,5
합계,재활용가능자원 분리배출,폐형광등,소계,2015,48,48
합계,재활용가능자원 분리배출,고철류,소계,2015,1630.8,1630.8
합계,재활용가능자원 분리배출,폐의류,소계,2015,146.3,146.3
합계,재활용가능자원 분리배출,영농폐기물,소계,2015,440.3,440.3
합계,재활용가능자원 분리배출,폐가구류,소계,2015,374.6,374.6
합계,재활용가능자원 분리배출,폐식용유,소계,2015,15.2,15.2
합계,재활용가능자원 분리배출,기타,소계,2015,706,706
합계,총계,소계,소계,2016,45460.3,0
합계,종량제방식에의한혼합배출,소계,소계,2016,19505,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,16366.6,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,1127.4,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,5371.1,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,1081.1,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,994,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,3265.3,0
합계,종량제방식에의한혼합배출,가연성,소계,2016,4527.7,0
합계,종량제방식에의한혼합배출,불연성,소계,2016,2584.7,0
합계,종량제방식에의한혼합배출,불연성,소계,2016,430,0
합계,종량제방식에의한혼합배출,불연성,소계,2016,394.1,0
합계,종량제방식에의한혼합배출,불연성,소계,2016,327.9,0
합계,종량제방식에의한혼합배출,불연성,소계,2016,1432.7,0
합계,종량제방식에의한혼합배출,기타(배출불명 등),소계,2016,553.7,0
합계,재활용가능자원 분리배출,소계,소계,2016,12413.3,12413.3
합계,재활용가능자원 분리배출,종이류,소계,2016,4236.2,4236.2
합계,재활용가능자원 분리배출,폐유리병류,소계,2016,1582.4,1582.4
합계,재활용가능자원 분리배출,캔류,소계,2016,686.5,686.5
합계,재활용가능자원 분리배출,플라스틱류,소계,2016,966.7,966.7
합계,재활용가능자원 분리배출,합성수지류,소계,2016,1147,1147
합계,재활용가능자원 분리배출,발포수지류,소계,2016,109.3,109.3
합계,재활용가능자원 분리배출,폐전기전자제품,소계,2016,150.6,150.6
합계,재활용가능자원 분리배출,폐전지류,소계,2016,18.4,18.4
합계,재활용가능자원 분리배출,타이어,소계,2016,19,19
합계,재활용가능자원 분리배출,윤활유,소계,2016,26.5,26.5
합계,재활용가능자원 분리배출,폐형광등,소계,2016,177.5,177.5
합계,재활용가능자원 분리배출,고철류,소계,2016,1634.5,1634.5
합계,재활용가능자원 분리배출,폐의류,소계,2016,160.8,160.8
합계,재활용가능자원 분리배출,영농폐기물,소계,2016,433.5,433.5
합계,재활용가능자원 분리배출,폐가구류,소계,2016,440.4,440.4
합계,재활용가능자원 분리배출,폐식용유,소계,2016,44.7,44.7
