idx,name,address,latitude,longitude,is_shown_user,input_wastes,devices,display_devices,reg_at,region_1,region_2,image_url
41,상무시민공원,"광주광역시 서구 치평동 1162""",35.153570941986715,126.84218149335008,true,[],[],[],2019-06-11 03:50:44,,,
42,동내면사무소,"강원특별자치도 춘천시 동내면 동내로 78""",37.8478551,127.7611148,true,[],[],[],2019-06-11 03:50:58,,,
43,효자1동주민센터,"강원특별자치도 춘천시 효자상길 9""",37.8721719,127.7275698,true,[],[],[],2019-06-11 03:51:13,,,
44,춘천시청,"강원특별자치도 춘천시 시청길 11""",37.8805675277616,127.7296109831504,true,[],[],[],2019-06-11 03:51:33,,,
45,신사우동주민센터,"강원특별자치도 춘천시 사우4길 28""",37.9059423,127.7278715,true,[],[],[],2019-06-19 02:38:20,,,
46,약사명동주민센터,"강원특별자치도 춘천시 망대길 9""",37.8765662,127.7248152,true,[],[],[],2019-06-19 02:38:53,,,
47,낙성대동주민센터,"서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터""",37.4762949,126.9583967,true,[],[],[],2019-06-19 02:39:58,,,
48,하나로마트일도점,"제주특별자치도 제주시 남광로 206""",33.503761567786505,126.55268786362696,true,[],[],[],2019-08-23 07:20:07,,,
49,관음사 야영장 클린하우스 안,"제주특별자치도 제주시 산록북로 588""",33.421520407832126,126.5496963564078,true,[],[],[],2019-08-23 07:20:19,,,
50,하나로마트노형점,"제주특별자치도 제주시 월광로 77""",33.48766119327324,126.46767812498987,true,[],[],[],2019-08-23 07:20:35,,,
51,제주시 성판악 등산로 클린하우스,"제주특별자치도 제주시 조천읍 516로 1865""",33.384503474730415,126.61929057380092,true,[],[],[],2019-08-23 07:20:47,,,
55,강서구청,"서울특별시 강서구 화곡로 302""",37.5509646154307,126.849533759513,true,[],[],[],2019-09-27 01:43:30,,,
56,강서구민회관,"서울특별시 강서구 우장산로 66 강서구민회관""",37.5535715,126.8433474,true,[],[],[],2019-09-27 01:43:54,,,
57,가양레포츠센터,"서울특별시 강서구 가양동 1493""",37.5596943,126.865198,true,[],[],[],2019-09-27 01:44:22,,,
60,국사봉중학교(포인트 적립 불가),"서울특별시 동작구 양녕로20길 20 국사봉중학교""",37.493623,126.9441019,true,[],[],[],2019-09-27 01:46:48,,,
61,세븐일레븐롯데월드몰수족관점,"서울특별시 송파구 올림픽로 300 롯데월드몰 지하 1층 GATE20""",37.5134981,127.1040702,true,[],[],[],2019-09-27 01:47:10,,,
62,세븐일레븐 도선카페점,서울특별시 성동구 왕십리로 326,37.5628379,127.0340538,true,[],[],[],2019-09-27 01:48:00,,,
71,대학동주민센터,"서울특별시 관악구 신림로 111 대학동주민센터""",37.4706113,126.9369739,true,[],[],[],2020-01-14 06:10:57,,,
72,드림스타트센터,"전라남도 광양시 정수2길 47 광영동사무소""",34.9628962,127.7219827,true,[],[],[],2020-01-14 06:11:12,,,
73,백운쇼핑센터,"전라남도 광양시 폭포사랑길 99""",34.9402886,127.7322355,true,[],[],[],2020-01-14 06:11:24,,,
74,중마동주민센터,"전라남도 광양시 중마중앙로 119 중마동사무소""",34.9410142,127.6976752,true,[],[],[],2020-01-14 06:11:38,,,
