dmX,stationName,dmY
35.865276,만촌동,128.640031
35.837879,호림동,128.488731
35.695336,유가읍,128.459293
35.851205,이곡동,128.51153
35.837626,시지동,128.697558
35.816726,진천동,128.528732
35.864922,다사읍,128.457164
35.83433,본동,128.541083
35.859,내당동,128.55183
35.88761,침산동,128.58434
35.79736,화원읍,128.50485
35.832255,충혼탑,128.583743
36.234746,군위읍,128.57628
36.05249,우현동,129.360814
35.980182,장흥동,129.374795
36.070725,장량동,129.380278
36.018833,대도동,129.365867
35.968522,대송면,129.359954
35.963042,3공단,129.376848
36.0300245,송도동,129.3748446
35.9668107,오천읍,129.4086805
35.9972932,청림동,129.4057291
35.996198,연일읍,129.352103
35.989987,제철동,129.397592
35.850801,성건동,129.207344
35.8357805,보덕동,129.2869852
35.9907908,안강읍,129.2269476
35.7156428,외동읍,129.3234158
36.088097,양덕동,129.398987
36.120551,평화남산동,128.116213
36.1439851,대광동,128.1370361
36.1214646,율곡동,128.183796
36.564207,명륜동,128.728086
36.105052,공단동,128.384038
36.130742,원평동,128.32579
36.114033,형곡동,128.335603
36.141641,4공단,128.438685
36.10605,진미동,128.4187
36.82066,가흥동,128.61209
36.82863,영주동,128.62621
35.825174,중방동,128.743217
35.912903,하양읍,128.813758
35.875737,진량읍,128.812259
35.063038,태종대,129.080909
35.090811,청학동,129.058362
35.1556258,전포동,129.063259
35.2071463,온천동,129.076217
35.204728,명장동,129.1042
35.129493,대연동,129.086128
35.127969,용호동,129.115711
35.154292,학장동,128.979342
35.207825,덕천동,129.006080555
35.233361,화명동,129.007694
35.182831,삼락동,128.976359
35.157731,우동,129.143794
35.274045,청룡동,129.090793
35.1708927,좌동,129.1741659
35.182668,재송동,129.118136
35.08298,장림동,128.9667622
35.20958,대저동,128.9713671
35.0866322,녹산동,128.8639
35.105555,명지동,128.925833
35.184734,연산동,129.078112
35.2460177,기장읍,129.2116801
35.325306,용수리,129.178434
35.139059,수정동,129.056923
35.2297487,부곡동,129.09266
35.230188,회동동,129.120586
35.152309,광안동,129.108101
35.114404,대신동,129.017251
35.173784,덕포동,128.986052
35.1552633,개금동,129.0225679
35.1055484,당리동,128.972983
35.077711,부산항,128.784773
35.074896,부산신항,128.834169
35.122677,부산북항,129.055411
35.107926,부산감만,129.082376
35.21815,회원동,128.57425
35.2178,봉암동,128.6023
35.2258303611,내서읍,128.50325827
35.503138,대송동,129.418334
35.556277,성남동,129.320451
35.497129,부곡동(울산),129.338806
35.515703,여천동(울산),129.35892
35.528793,야음동,129.326001
35.544442,삼산동,129.331878
35.533314,신정로,129.301215
35.534671,신정동,129.307806
35.43445,덕신리,129.30651
35.5509,무거동,129.260827
35.560301,효문동,129.370866
35.195891,상봉동,128.074596
35.193333,대안동,128.084167
35.180609,상대동(진주),128.121781
35.1246016667,정촌면,128.09992247
35.243402,명서동,128.641756
35.217333,웅남동,128.656617
35.1993934,성주동,128.7108707
35.236111,용지동,128.683889
35.2341412,반송로,128.6646236
35.221729,사파동,128.69825
37.564639,중구,126.975961
37.549389,한강대로,126.971519
37.572025,종로구,127.005028
37.56865,청계천로,126.998083
37.570633,종로,126.996783
37.532057,용산구,127.002371
37.544639,광진구,127.095706
37.542036,성동구,127.049685
37.539283,강변북로,127.040943
37.584953,중랑구,127.094283
37.576169,동대문구,127.029642
